code;title;date;event_type;country
EMSR871;Flood in Abruzzo, Molise and Basilicata regions, Italy;2026-04-01 15:16:00;Flood;Italy
EMSR870;Flood in Ecuador;2026-03-11 16:51:00;Flood;Ecuador
EMSR868;Flood in Evros River basin, Greece;2026-02-20 08:51:00;Flood;Greece
EMSR866;Flood in New Aquitaine, France;2026-02-11 11:50:00;Flood;France
EMSR865;Flood in Cordoba, Colombia;2026-02-11 03:54:00;Flood;Colombia
EMSR864;Flood in Portugal and Spain;2026-02-03 20:22:00;Flood;Portugal
EMSR861;Storm Kristin and Flooding in Central Portugal, Galicia and Andalusia, Spain;2026-01-28 09:41:00;Flood;Portugal - Spain
EMSN232;Flashflood Hazard for Preparedness Planning in Rosenheim, Germany;2026-01-27 00:00:00;Flood;Germany
EMSR858;Flood in  Southern Italy;2026-01-19 10:40:00;Flood;Italy
EMSR857;Flood in  Mozambique and South Africa;2026-01-17 07:38:00;Flood;Mozambique - South Africa
EMSR856;Flood in  Albania and Montenegro;2026-01-09 08:05:00;Flood;Albania - Montenegro
EMSR855;Flood in  Italy;2026-01-06 16:21:00;Flood;Italy
EMSR854;Flood in Bosnia and Herzegovina;2026-01-05 16:05:00;Flood;Bosnia and Herzegovina
EMSR853;Flood in  Bolivia;2025-12-16 02:29:00;Flood;Bolivia
EMSN228;Flood and landslides in Friuli Venezia-Giulia, Italy: Ground Deformation, Damage, Risk and Impact Assessment;2025-12-04 00:00:00;Flood;Italy
EMSR851;Flood in  Sri Lanka;2025-12-01 14:23:00;Flood;Sri Lanka
EMSR850;Flood in  Albania;2025-11-19 16:49:00;Flood;Albania
EMSR848;Flood in central Viet Nam;2025-10-30 04:48:00;Flood;Viet Nam
EMSR846;Flood in  Panama;2025-10-16 12:18:00;Flood;Panama
EMSR845;Flood in Mexico;2025-10-13 22:53:00;Flood;Mexico
EMSR844;Flood in Viet Nam;2025-10-11 03:40:00;Flood;Viet Nam
EMSR843;Flood in Italy;2025-09-22 14:42:00;Flood;Italy
EMSN224;Flood Extent and Damage Assessment in Suceava and Neamț, Romania (July 2025);2025-09-18 00:00:00;Flood;Romania
EMSR841;Flood in Vasternorrland County, Sweden;2025-09-11 13:16:00;Flood;Sweden
EMSR838;Flood in Pakistan;2025-08-29 11:45:00;Flood;Pakistan
EMSR813;Flood in Ecuador;2025-07-08 19:25:00;Flood;Ecuador
EMSN222;Flood Hazard Simulations for Preparedness Planning in Ditzingen, Germany;2025-05-30 13:42:00;Flood;Germany
EMSR802;Flood in Romania;2025-05-28 17:20:00;Flood;Romania
EMSN221;Flood impact and risk reduction assessment in Iniesta and Motilla del Palancar (Spain);2025-05-07 00:00:00;Flood;Spain
EMSR800;Flood in Lombardy - Italy;2025-04-18 11:00:00;Flood;Italy
EMSR799;Flood in Bolivia;2025-04-11 11:17:00;Flood;Bolivia
EMSR797;Flood in northern Bosnia-Herzegovina;2025-03-27 14:57:00;Flood;Bosnia and Herzegovina
EMSR796;Flood In Ecuador;2025-03-18 16:28:00;Flood;Ecuador
EMSR795;Flood in Italy;2025-03-14 16:07:00;Flood;Italy
EMSR794;Flood in Madrid, Toledo and Guadalajara Provinces, Spain;2025-03-12 16:11:00;Flood;Spain
EMSR792;Flood in Valencia, Spain;2025-03-05 17:58:00;Flood;Spain
EMSR789;Flood in Ecuador;2025-02-26 15:58:00;Flood;Ecuador
EMSR788;Flood in Ille-et-Vilaine, France;2025-01-29 17:28:00;Flood;France
EMSR783;Flood in Scotland, United Kingdom;2024-12-30 22:07:00;Flood;United Kingdom
EMSR779;Flood in Cameroon;2024-11-21 15:18:00;Flood;Cameroon
EMSR776;Flood in Panama;2024-11-05 03:55:00;Flood;Panama
EMSR775;Flood in Norway;2024-10-30 19:04:00;Flood;Norway
EMSR774;Floods in Veracruz, Mexico;2024-10-29 18:17:00;Flood;Mexico
EMSR773;Flood in Valencia Region, Spain;2024-10-29 16:40:00;Flood;Spain
EMSR772;Flood in Cameroon;2024-10-25 15:23:00;Flood;Cameroon
EMSR771;Flood in Emilia- Romagna, Italy;2024-10-20 08:24:00;Flood;Italy
EMSR770;Flood in Bosnia and Herzegovina;2024-10-04 15:59:00;Flood;Bosnia and Herzegovina
EMSR768;Flood in Croatia and Slovenia;2024-10-04 09:35:00;Flood;Croatia - Slovenia
EMSR766;Flood in Croatia;2024-09-24 11:53:00;Flood;Croatia
EMSR764;Flood in Lower Austria, Austria;2024-09-22 08:19:00;Flood;Austria
EMSR763;Flood in Germany;2024-09-20 13:01:00;Flood;Germany
EMSR762;Flood in Emilia-Romagna, Italy;2024-09-18 14:58:00;Flood;Italy
EMSR761;Flood in Dresden, Germany;2024-09-18 13:00:00;Flood;Germany
EMSR759;Flood on the Danube in Hungary, Austria, and Slovakia;2024-09-14 15:59:00;Flood;Austria - Hungary - Slovakia
EMSR758;Flood in Galati and Vaslui counties, Romania;2024-09-14 13:44:00;Flood;Romania
EMSR757;Flood in March, Morava Basins, Slovakia;2024-09-13 15:59:00;Flood;Slovakia
EMSR756;Flood in South West Poland;2024-09-13 12:50:00;Flood;Czechia - Poland
EMSR755;Flood in Brandenbourg, Germany;2024-09-13 10:04:00;Flood;Germany
EMSR754;Flood in Viet Nam;2024-09-11 16:00:00;Flood;Viet Nam
EMSR753;Flood in Borno, Nigeria;2024-09-10 15:04:00;Flood;Nigeria
EMSN205;Retrospective flood temporal analysis in Saarland, Germany;2024-09-09 00:00:00;Flood;Germany
EMSR750;Flood in Sudan;2024-08-27 09:50:00;Flood;Sudan
EMSN199;Retrospective analysis, delineation and damage assessment of floods in Germany;2024-07-09 00:00:00;Flood;Germany
EMSR728;Flood in Germany;2024-05-30 20:09:00;Flood;Germany
EMSN194;Flood in Porto Alegre, Brazil;2024-05-28 18:19:00;Flood;Brazil
EMSR725;Flood in Sweden;2024-05-20 15:08:00;Flood;Sweden
EMSR722;Flood in Saarland region, Germany;2024-05-17 16:37:00;Flood;Germany
EMSR721;Flood in Lombardy, Italy;2024-05-16 15:29:00;Flood;Italy
EMSN193;Flood Risk Assessment in Tazlau River, Romania;2024-05-07 00:00:00;Flood;Romania
EMSR720;Flood in Rio Grande Do Sul State, Brazil;2024-05-03 09:04:00;Flood;Brazil
EMSN191;Flood risk assessment due to Tanganyika Lake level rise in Bujumbura, Burundi;2024-04-26 09:02:00;Flood;Burundi
EMSN190;Flood risk assessment in Bujumbura, Burundi;2024-04-20 09:20:00;Flood;Burundi
EMSR718;Flood in Ireland;2024-04-12 17:34:00;Flood;Ireland
EMSN177;Flood risk and mitigation strategies in Derna (Libya);2024-02-19 14:13:00;Flood;Libya
EMSN186;Flood in North Rhine-Westphalia, Germany;2024-01-15 13:09:00;Flood;Germany
EMSR713;Flood in Saarland region,  Germany;2024-01-03 16:10:00;Flood;Germany
EMSR712;Flood in Lower Saxony region, Germany;2023-12-22 17:45:00;Flood;Germany
EMSN185;Flood in Tuscany region, Italy;2023-12-21 00:00:00;Flood;Italy
EMSR711;Flood in southwestern France;2023-12-14 11:19:00;Flood;France
EMSR710;Flood in Romania;2023-11-30 16:25:00;Flood;Romania
EMSN184;Flood in Thessaly Region, Greece;2023-11-23 00:00:00;Flood;Greece
EMSR708;Flood in Belgium;2023-11-10 11:03:00;Flood;Belgium
EMSR706;Flood in northern France;2023-11-07 14:48:00;Flood;France
EMSR705;Flood in Tuscany region, Italy;2023-11-03 03:21:00;Flood;Italy
EMSR701;Flood in Schleswig Holstein region, Germany;2023-10-20 14:05:00;Flood;Germany
EMSR698;Flood in Scotland, United Kingdom;2023-10-07 07:48:00;Flood;United Kingdom
EMSR697;Flood in Thessaly and Sterea Ellada regions, Greece;2023-09-26 10:32:00;Flood;Greece
EMSR696;Flood in Libya;2023-09-12 10:37:00;Flood;Libya
EMSR694;Flood in Spain;2023-09-07 09:09:00;Flood;Spain
EMSR693;Flood in Burgas, Bulgaria;2023-09-06 16:04:00;Flood;Bulgaria
EMSR692;Flood in Greece;2023-09-05 12:10:00;Flood;Greece
EMSN171;Flood simulation in Bremen, Germany;2023-09-01 00:00:00;Flood;Germany
EMSR684;Flood in Sweden;2023-08-15 17:45:00;Flood;Sweden
EMSR683;Flood in Norway;2023-08-08 09:02:00;Flood;Norway
EMSR680;Flood in Slovenia;2023-08-04 10:40:00;Flood;Slovenia
EMSN154;Flood in Emilia Romagna, Italy;2023-05-25 01:00:00;Flood;Italy
EMSR668;Flood in Norway;2023-05-22 15:53:00;Flood;Norway
EMSR665;Flood in Bosnia and Herzegovina;2023-05-17 09:42:00;Flood;Bosnia and Herzegovina
EMSR664;Flood in Italy;2023-05-16 14:33:00;Flood;Italy
EMSR662;Flood in Uganda;2023-05-15 17:39:00;Flood;Uganda
EMSR663;Flood in Mozambique;2023-05-15 13:57:00;Flood;Mozambique
EMSR659;Flood in Emilia-Romagna, Italy;2023-05-03 09:39:00;Flood;Italy
EMSR657;Flood in Daugava River valley, Latvia;2023-03-31 11:49:00;Flood;Latvia
EMSR650;Flood in Mozambique;2023-02-11 16:34:00;Flood;Mozambique
EMSR649;Flood in Sicily- Italy;2023-02-09 02:33:00;Flood;Italy
EMSR646;Flood in Kosovo;2023-01-27 16:54:00;Flood;Kosovo
EMSR644;Ice Jam and Flood in Aizkraukles and Jekabpils- Latvia;2023-01-11 13:53:00;Flood;Latvia
EMSN140;Flood in Chad;2022-12-21 15:08:00;Flood;Chad
EMSN141;Flood in Bulgaria;2022-11-30 01:00:00;Flood;Bulgaria
EMSR640;Flood in Scotland- United Kingdom;2022-11-18 21:46:00;Flood;United Kingdom
EMSR639;Flood in Belize;2022-11-04 21:47:00;Flood;Belize
EMSR637;Floods in Australia;2022-10-12 08:17:00;Flood;Australia
EMSN139;Retrospective flood analysis in Luxembourg, July 2021;2022-10-11 01:00:00;Flood;Luxembourg
EMSR634;Flood in Marche and Umbria Regions- Italy;2022-09-16 09:48:00;Flood;Italy
EMSR631;Flood in Pakistan;2022-09-10 08:34:00;Flood;Pakistan
EMSR629;Floods in Pakistan;2022-08-29 10:50:00;Flood;Pakistan
EMSR586;Flood in New South Wales- Australia;2022-07-03 08:40:00;Flood;Australia
EMSR577;Floods in Suriname;2022-06-15 08:26:00;Flood;Suriname
EMSR574;Flood in Queensland- Australia;2022-05-13 12:40:00;Flood;Australia
EMSR572;Flood in Bosnia and Herzegovina;2022-04-01 09:34:00;Flood;Bosnia and Herzegovina
EMSR570;Flood in New South Wales- Australia;2022-03-29 12:07:00;Flood;Australia
EMSR569;Flood in Valencian Community- Spain;2022-03-21 15:55:00;Flood;Spain
EMSR567;Floods in Queensland- Australia;2022-02-26 19:27:00;Flood;Australia
EMSR562;Floods in Australia;2022-01-30 02:19:00;Flood;Australia
EMSR561;Floods in Malawi;2022-01-27 15:42:00;Flood;Malawi
EMSR559;Flood in Madagascar;2022-01-25 18:37:00;Flood;Madagascar
EMSR557;Floods in Norway;2022-01-11 23:27:00;Flood;Norway
EMSR555;Flood in the Ebro river basin- Spain;2021-12-10 12:40:00;Flood;Spain
EMSR554;Floods in Queensland- Australia;2021-12-01 11:03:00;Flood;Australia
EMSR551;Flood in Sulaymaniyah District- Iraq;2021-11-21 23:30:00;Flood;Iraq
EMSR550;Flood in New South Wales- Australia;2021-11-10 12:34:00;Flood;Australia
EMSR548;Flood in Eastern Sicily- Italy;2021-10-27 11:31:00;Flood;Italy
EMSN105;Floods in Solingen, Germany;2021-08-16 01:00:00;Flood;Germany
EMSR520;Flood in Netherlands;2021-07-15 23:57:00;Flood;Netherlands
EMSR519;Flood in Switzerland;2021-07-15 19:02:00;Flood;Switzerland
EMSR518;Flood in Belgium;2021-07-14 14:00:00;Flood;Belgium - Netherlands
EMSR517;Flood in Western Germany;2021-07-13 17:11:00;Flood;Germany
EMSR514;Flood in Guyana;2021-06-14 02:34:00;Flood;Guyana
EMSR511;Flood in Lapland- Finland;2021-05-21 07:21:00;Flood;Finland
EMSN095;Flood in Hessen;2021-04-29 01:00:00;Flood;Germany
EMSR507;Flood in Timor-Leste;2021-04-04 15:59:00;Flood;Timor-Leste
EMSN092;Flood in Münster;2021-03-29 01:00:00;Flood;Germany
EMSR504;Floods- Australia;2021-03-20 12:40:00;Flood;Australia
EMSR502;Flood in Southern Ireland;2021-02-23 10:29:00;Flood;Ireland
EMSR501;Flood in Albania;2021-02-12 16:50:00;Flood;Albania
EMSR498;Flood in Correze department- France;2021-02-02 01:08:00;Flood;France
EMSR497;Flood in Germany;2021-02-01 13:42:00;Flood;Germany
EMSR496;Flood in Lazio Region- Italy;2021-01-27 17:31:00;Flood;Italy
EMSR492;Flood in Landes- France;2021-01-01 19:14:00;Flood;France
EMSR488;Flood in Lazio Region- Italy;2020-12-09 13:39:00;Flood;Italy
EMSR487;Flood in Emilia-Romagna Region- Italy;2020-12-06 14:26:00;Flood;Italy
EMSR486;Flood in Eastern Sardinia- Italy;2020-11-28 16:19:00;Flood;Italy
EMSR485;Flood in Chiapas- Mexico;2020-11-25 19:59:00;Flood;Mexico
EMSR483;Flood in Calabria- Italy;2020-11-22 10:19:00;Flood;Italy
EMSR480;Flood in Crete Region- Greece;2020-11-11 07:57:00;Flood;Greece
EMSR479;Flood in Tabasco- Mexico;2020-11-08 00:46:00;Flood;Mexico
