month,event_count,avg_severity,total_deaths
1900-01-01,1,,300
1903-06-01,1,,250
1903-10-01,1,,0
1907-07-01,1,,100
1907-09-01,1,,21
1907-10-01,1,,32
1909-09-01,1,,72
1910-01-01,1,,16
1910-08-01,1,,1379
1911-01-01,1,,100000
1915-01-01,1,,0
1916-01-01,1,,15
1917-01-01,1,,0
1920-05-01,1,,23
1920-08-01,1,,0
1924-11-01,1,,15
1925-11-01,1,,13
1925-12-01,1,,0
1926-01-01,2,,1000
1926-06-01,1,,0
1926-07-01,1,,0
1927-04-01,1,,246
1927-11-01,1,,3000
1928-10-01,1,,36
1928-11-01,1,,0
1930-03-01,1,,230
1931-07-01,1,,3700000
1933-01-01,2,,18053
1934-07-01,1,,55
1935-07-01,1,,142000
1936-03-01,1,,114
1937-01-01,1,,385
1937-10-01,1,,14
1937-11-01,1,,111
1938-02-01,1,,21
1938-06-01,1,,933
1939-07-01,1,,500000
1940-10-01,2,,147
1940-11-01,1,,125
1943-01-01,1,,0
1943-09-01,1,,990
1947-01-01,1,,2000
1948-02-01,1,,200
1948-05-01,2,,385
1948-06-01,1,,132
1948-12-01,1,,200
1949-07-01,1,,57000
1949-10-01,1,,40000
1950-01-01,1,,2900
1950-04-01,3,,51
1950-06-01,4,,235
1950-07-01,1,,45
1950-08-01,2,,577
1951-01-01,1,,131
1951-05-01,1,,41
1951-07-01,1,,306
1951-08-01,1,,4800
1951-10-01,1,,70
1951-11-01,2,,325
1952-08-01,2,,134
1952-09-01,1,,25
1952-10-01,1,,40
1953-01-01,2,,2011
1953-02-01,1,,114
1953-03-01,1,,71
1953-06-01,2,,2646
1953-07-01,1,,1124
1953-08-01,3,,1109
1953-10-01,2,,127
1954-03-01,2,,0
1954-06-01,1,,30000
1954-07-01,1,,2000
1954-08-01,3,,2360
1954-09-01,1,,46
1954-11-01,1,,30
1955-02-01,1,,25
1955-12-01,2,,514
1956-01-01,1,,2000
1956-05-01,1,,4
1956-07-01,2,,1051
1956-08-01,3,,408
1956-09-01,1,,100
1956-10-01,1,,50
1957-07-01,2,,1552
1957-08-01,2,,322
1957-09-01,4,,355
1957-10-01,1,,86
1957-11-01,1,,53
1957-12-01,1,,112
1958-07-01,1,,360
1958-09-01,1,,35
1958-11-01,1,,5
1959-01-01,1,,2000
1959-04-01,1,,50
1959-05-01,1,,51
1959-06-01,2,,371
1959-07-01,6,,2000324
1959-09-01,2,,600
1960-01-01,1,,10000
1960-05-01,1,,15
1960-07-01,1,,30
1960-08-01,1,,47
1960-09-01,1,,155
1960-10-01,1,,325
1960-11-01,1,,5
1961-04-01,1,,0
1961-06-01,1,,357
1961-07-01,2,,2249
1961-09-01,1,,0
1961-10-01,2,,1057
1961-11-01,1,,200
1962-07-01,1,,71
1962-08-01,3,,525
1962-09-01,2,,888
1962-11-01,2,,66
1963-01-01,1,,100
1963-04-01,2,,132
1963-07-01,2,,230
1963-11-01,1,,500
1963-12-01,2,,69
1964-01-01,2,,176
1964-03-01,2,,1
1964-04-01,2,,20
1964-05-01,2,,0
1964-06-01,1,,64
1964-07-01,4,,281
1964-09-01,2,,87
1964-10-01,4,,61
1964-12-01,3,,450
1965-01-01,1,,8
1965-04-01,1,,0
1965-05-01,1,,3
1965-06-01,2,,22
1965-07-01,3,,951
1965-08-01,2,,33
1965-09-01,4,,202
1965-11-01,2,,34
1965-12-01,3,,106
1966-01-01,1,,373
1966-02-01,4,,62
1966-03-01,3,,475
1966-05-01,1,,147
1966-06-01,4,,165
1966-07-01,2,,152
1966-08-01,1,,300
1966-09-01,4,,102
1966-10-01,1,,57
1966-11-01,2,,90
1967-01-01,6,,868
1967-02-01,2,,0
1967-03-01,2,,0
1967-04-01,1,,0
1967-05-01,1,,0
1967-06-01,1,,0
1967-07-01,2,,379
1967-08-01,2,,142
1967-09-01,2,,300
1967-10-01,2,,80
1967-11-01,3,,642
1967-12-01,2,,35
1968-01-01,1,,29
1968-02-01,1,,24
1968-03-01,1,,40
1968-04-01,1,,12
1968-05-01,3,,1
1968-06-01,1,,0
1968-07-01,3,,5113
1968-08-01,2,,1000
1968-09-01,2,,2
1968-10-01,3,,866
1968-11-01,1,,72
1968-12-01,1,,147
1969-01-01,2,,115
1969-03-01,1,,316
1969-04-01,2,,20
1969-08-01,3,,0
1969-09-01,3,,1024
1969-10-01,1,,7
1969-12-01,2,,62
1970-01-01,4,,50
1970-04-01,4,,91
1970-05-01,3,,515
1970-07-01,3,,799
1970-08-01,1,,350
1970-09-01,6,,553
1970-10-01,4,,337
1970-11-01,2,,307
1970-12-01,4,,244
1971-01-01,2,,500
1971-02-01,3,,407
1971-03-01,1,,0
1971-04-01,1,,109
1971-06-01,3,,1074
1971-07-01,2,,0
1971-08-01,2,,14
1971-09-01,1,,300
1972-01-01,2,,150
1972-05-01,3,,115
1972-06-01,4,,425
1972-07-01,2,,1111
1972-08-01,1,,672
1972-09-01,1,,75
1972-11-01,1,,0
1972-12-01,1,,0
1973-02-01,1,,0
1973-03-01,5,,553
1973-04-01,1,,23
1973-06-01,1,,5
1973-07-01,1,,30
1973-08-01,4,,634
1973-09-01,2,,3
1973-10-01,2,,309
1973-11-01,1,,7
1973-12-01,2,,71
1974-01-01,1,,14
1974-02-01,3,,57
1974-03-01,3,,216
1974-04-01,1,,0
1974-05-01,1,,25
1974-06-01,2,,32
1974-07-01,3,,28960
1974-08-01,2,,94
1974-11-01,1,,33
1975-01-01,4,,240
1975-02-01,1,,15
1975-03-01,1,,0
1975-04-01,3,,20013
1975-05-01,2,,0
1975-07-01,3,,528
1975-08-01,1,,52
1975-09-01,1,,0
1975-11-01,1,,0
1976-01-01,1,,8
1976-04-01,2,,51
1976-06-01,3,,168
1976-07-01,3,,160
1976-08-01,1,,338
1976-10-01,2,,47
1976-11-01,3,,193
1976-12-01,1,,0
1977-01-01,6,,80
1977-02-01,4,,318
1977-03-01,1,,12
1977-04-01,1,,17
1977-05-01,4,,109
1977-06-01,4,,873
1977-07-01,5,,402
1977-08-01,6,,533
1977-09-01,5,,60
1977-10-01,5,,84
1977-11-01,6,,83
1978-01-01,5,,96
1978-02-01,4,,11
1978-03-01,5,,54
1978-05-01,4,,35
1978-06-01,5,,41
1978-07-01,6,,4499
1978-08-01,8,,307
1978-09-01,1,,810
1978-10-01,3,,0
1978-11-01,2,,19
1978-12-01,5,,48
1979-01-01,3,,332
1979-02-01,2,,132
1979-03-01,1,,0
1979-04-01,3,,36
1979-05-01,4,,23
1979-06-01,4,,76
1979-07-01,2,,100
1979-08-01,2,,0
1979-10-01,5,,89
1979-11-01,5,,240
1979-12-01,3,,0
1980-01-01,5,,94
1980-02-01,4,,92
1980-03-01,3,,85
1980-04-01,1,,70
1980-05-01,1,,31
1980-06-01,4,,6266
1980-07-01,5,,899
1980-08-01,3,,2275
1980-09-01,4,,306
1980-10-01,4,,97
1980-11-01,3,,98
1980-12-01,2,,154
1981-01-01,6,,364
1981-02-01,1,,0
1981-03-01,4,,138
1981-04-01,3,,35
1981-05-01,4,,578
1981-07-01,6,,2050
1981-08-01,2,,914
1981-09-01,5,,693
1981-10-01,4,,334
1981-11-01,1,,0
1981-12-01,6,,123
1982-01-01,9,,451
1982-02-01,1,,13
1982-03-01,3,,482
1982-04-01,2,,0
1982-05-01,3,,467
1982-06-01,7,,2
1982-07-01,3,,437
1982-08-01,5,,1001
1982-09-01,4,,1124
1982-10-01,3,,235
1982-11-01,4,,379
1982-12-01,3,,37
1983-01-01,1,,68
1983-02-01,3,,91
1983-03-01,2,,295
1983-04-01,4,,96
1983-05-01,6,,87
1983-06-01,3,,101
1983-07-01,4,,220
1983-08-01,9,,305
1983-09-01,6,,722
1983-10-01,3,,12
1983-11-01,2,,19
1983-12-01,5,,78
1984-01-01,6,,13
